original_sha,new_sha
20359461e1d392da5a43f2c3eefbadfa5733e78e,21fbb781d36466a7c7cbedf2586e5ab0691d080d
44da910ae8732581b5227fca812b5e25aad00755,2c9c7730a2bfa2379ec1bcadc575f8d4c6b2caa0
1b8212d895f952db0d06c16d3956ce8440f28135,38e3ec55009ccda6ecf6c2172ccb0cf6f5df59a7
2e9845c4c4a863157182e5f25b95252d1bb0e06e,14bef45e5b63d7528753409047e6020cf8c37fc1
eeb1535404f321d280a8f9194bbc1d7aca5f05fc,b8adccd2bb706ae7efdac3f3ef00dc52150d0d1d
1b92217fcbaced6e07b81e910fa2945a7e090dcd,066c173242c66d1f712ee1e2907ce91d937a60d0
974c5da5f039d2d12b30c6e790aeccba0b1d3a61,1df537777fb2198723a716bc63a106ff9648650c
0c57daa5cc93577228ebe5cfdad73dbdde49a605,a0f9e2e6ebf9a07e97466d4730d376c637e14200
295db7eba1cbb2d19c3ca5b89cdd641a4c5a9b2d,f66e73e799f9ac6c194010d996ab4bf5ce42220f
87a8504b7d964b1262d455908675feccbb542e23,a267e9e765ddd4638e889191f0f8c7324d900312
fe46d4b566522ed67fc31593243a83fdc4261f75,5510990c8eb6651e1264d659959c4e7686ff6660
bf93de554b770c9dac2a0f3a2e308e4f44e89f3a,79843df344295523ddc4f19fa7f8d0336e112f4c
082f8899473b4a209e8d036c0aa3597b5b6f4aba,9f0cea76e4b840d08d3170331accfc8f33a3027a
4c6bc4087d7d1efc83cde56830d152309c6321fb,9041ba2b4647c4c05285f2031a1e8b05c4a07857
c97dfc225480b611108470629970cae56981ac0d,d9ae68d20df34f2bd27dfcb097bb6964653ff285
15a1b3a2adb2c5995a546220bc7ccbb9b9973a9c,df5990c4a78a8cbc81912fba5337228102e168a3
0e908b366a1c74bb86b5355887abb202eb4be9b7,42470634a4ecb45d88f3c0d4c57ce50cfe218da0
4576eeb487a334758485528fdfe52a113e77dcb8,d77cb9b4138e8c0e3316ca4329f407ddbfa2bb8b
4a721e047fc0479dfd103839284ae5b864cfe193,626a8b738e43e7da815ec0ceaead0830edce9e01
3eea7ef0caacc74428248677b548b81c4f0dc123,38207875d025bc3a5918878e28b3d3dd78665a52
7b98f2ac1cb02bb3301c450aef5b052df757fe96,c448aee18445e8e81511c0a75f1e1db0ef5eb782
60db4a0fd83a70be5c55ee7884f6be15cc3cab2f,981bfae676b4e53cfcca1a2f9c5e7adf915d52ad
5f2a00d83bbfd108329d2648e608e363352220f2,78e0abdce646d0f579dfd502da9dc5832ef10d34
75354ca9617e9e84fd2f65176ca026b0df804727,0ed87c019fcb77377427b4b298ceaf417b9ebb7b
898b77bc14b02eb89178222356cbcd4c1c8ccdbf,52b7029bc46a975e3d259d6a09f9e5606d8cf020
2682db13343a9754e5a7404cc9d8e299545be4b1,a16af151e3d590e9a37142ad92f4f5338debeeb2
6cb3ebc0b451565e488ab52c9ddd3cd60f040620,f7640ad0fb0b5a0b7edf5cd7ed0b5cd0090237dc
a8a53ff3972a4fb03a2d936ce215174b51680b5e,4e4d3f0642381116befdbc5e12709c5431b8a108
c36dc8c4911b3a5b3ae6462bce6788e01b7e698b,5bebbc21889081a361c5b9afeb6862bd1921a552
91382b2cebafd43a160a7c17eff6a89693d78bd0,523596f1469d9623e5ab3486842c5bb254c3ff91
1c869693a8a0b35ae0e16c487ca532fd2a82e7ea,26dcb0576c65c2cd7f8076c47cfefd966de520f7
a0c814ade7ea0387d21842d2164fc6a287905213,8760c7bd0598e6ca911d8ea43bb6ad99bb03423a
3712857009d4cce6efcf1de2e921c1e972658e72,59445f3af77a0022fbe2340df2e5952d533fa2a7
b33b19824a4227d30255df49ad240f0ddca51067,9bd6d12f292dc1d0c9dfa3e218130804ddd8d76a
c95d6b58b4301589542dbb701f3d0f35180c56b8,72a86e78234ecb9cb3267e4cb4361b7be46941ce
f4e45aa899fa31c25ef8deeffe7eceb24e8dfbcd,da1063b1aa1404aa5237ca1e084d31f7ccf9a7b3
f2827730559ae3bacb2c4e11079190602bdcf1f6,47a53a27707434c38011131be1be74a43c67531d
9a171aaea7c9116c38ed1470bac96dc7b4d1aacc,1846df981ee37c2932314bb12e13fafedb7bd3c9
e39dc440e98c805c2d2652acefee43c1352bf2fc,84e499526fdec0faee18c32a7e6e9e8280b7ab5e
6d653dc1a1048f3a32f428d6621d3b08fc29c15c,678df5949a59d23bacbfc5e062f87d1f10622bf1
e2aa795c71efefe7317351b21b6e1f74a69ce55e,357d9a94972930547d4a3760931e7518b1efbb65
f42dcd336ebbff9de7236664fcf33c891d26017d,2473f8324585bbae680ab0a5f3f1e804248cc8a9
981a58f4587802606613da8c5c758cfbca82b776,fd079e9486a3ffb478d60245aaad10d01c76e539
1097673f4ab60f9fc6bfe3f225baa119ff95756d,874fd753f9d97b29cb1613c3b0e8ef9db88adf71
